character,dialogue
Joey," Bunu çok yapıyorlar. Hey, bir bira ister misin?"
Chandler," Evet, gidip bir tane alayım."
Joey," Hayır, hayır, hayır, kalkma, hemen burada bir soğutucum var."
Chandler, Merhaba!
Monica, Hey.
Chandler, Bira var mı? Biramız kalmadı.
Monica,  Kendine bir şeyler al.
Chandler, İyi misin?
Monica, Phoebe taşındı.
Chandler, Tamam.
Monica," Anlamıyorum, yani yaşamak bu kadar zor mu, bunun için mi erkek arkadaşım yok?"
Chandler," Hayır!! Erkek arkadaşın yok çünkü... Bilmiyorum, neden erkek arkadaşın olmadığını bilmiyorum. Erkek arkadaşın olmalı."
Monica, Sanırım öyle.
Chandler," Oh-ho, buraya gel.  Dinle, sen benim en sevdiğim insanlardan birisin ve gerçek hayatta tanıdığım en güzel kadınsın."
Ross,  Merhaba. Herkes nerede?
Phoebe," Ah, zaten kapalı, Chris bana kilitlemek için anahtarları verdi-ne oldu?"
Ross," Evliliğim, sanırım evliliğim, şey, biraz bitti."
Phoebe, Ah hayır! Neden?
Ross," Çünkü Carol lezbiyen.  Ve, ve ben onlardan biri değilim. Ve görünüşe göre bu bir karışım ve eşleştirme durumu değil."
Phoebe," Aman Tanrım! İnanamıyorum! Ah, zavallı tavşan."
Ross,"  Ben bir aptalım. Yani görmeliydim, yani Carol ve ben dışarı çıkmış olurduk ve o, o güzel bir kadın görürdü ve, ve o Ross olurdu bilirsin ona bakardım ve ben düşünürdüm, Tanrım, karım harika!"
Phoebe," Ah! Hey, Susan denen kişinin onun sevgilisi olduğunu mu düşünüyorsun?"
Ross," Eh, şimdi düşünüyorum!!"
Phoebe, Üzgünüm.
Ross," Yedi yıl. Yani yedi yıldır birlikteyiz, beni seven tek kadın o ve ben-benim tek kadınım..."
Phoebe," Ah, Tanrım Ross. Oh."
Chandler," Umm, bu güzel."
Monica," Biliyorum, öyle değil mi?"
Chandler," Hayır, ciddiyim, bu gerçekten iyi hissettiriyor. Yüzde yüz pamuk mu?"
Monica, Evet! Ve ben de indirimde aldım.
Chandler," Neyse, gitmeliyim, cankurtaranlardan biri nükleer bir cihazı sökmek üzereydi."
Monica," Şey, eğer daha sonra bir içki içmek istersen içebiliriz."
Chandler," Ah evet, kulağa harika geliyor.  Ah, ve dinle, bu, bu olacak..."
Monica, Biliyorum. Teşekkürler.
Ross," Belki daha şefkatli olsaydım, daha fazla dikkat etseydim, ya da... bir rahmim olsaydı bu olabilirdi. Buna inanamıyorum!"
Phoebe," Biliyorum, hayır, hayır, biliyorsun bunu hak etmiyorsun, hak etmiyorsun Ross. Sen, sen gerçekten, sen çok iyisin."
Ross, Teşekkürler.
Phoebe, Ve sen çok tatlısın.  Ve sen naziksin
Ross, Teşekkürler.
Ross," Bekle, bekle, bekle, bekle, bekle."
Phoebe, Ha?
Phoebe," Tamam, sorun değil."
Phoebe, Oh.
Ross," Bekle, bekle, bekle."
Phoebe, Ne?
Ross, Ayağım cebimde sıkıştı.
Phoebe, Ne?
Ross," Hayır, çıkaramıyorum."
Phoebe," Eh, bu bir kızın duymak isteyeceği bir şey değil."
Ross," Hayır, hadi başlama.  Of!"
Phoebe, Ne?
Ross, Aptal toplar engel oluyor.
Ross," Eh, neyse. Muhtemelen en yapıcı çözüm olurdu."
Phoebe, Suratında tebeşir var.
Ross, Ha?
Phoebe," Ah, Ross haklısın, neden bunun gerçek ot olduğunu düşündüğümü bilmiyorum."
Monica," Hey, iyi misin?"
Ross, Karım lezbiyen.
Joey, Harika!!
Chandler," Ross-Joey, Joey-Ross."
Ross, Merhaba.
Chandler, I can’t believe you came back.
Rachel," Don’t say anything. I don’t wanna speak, I don’t wanna think. I just want you to take me and kiss me and make love to me right here, right now."
Friend No. 2, Rachel! Rachel!
Rachel, What?
Friend No. 2, You missed the exit!
Rachel," Oh, sorry."
Friend No. 1," My God, what were you thinking about?"
Rachel," Um,  Barry."
Her Friends, Awwww!!
Ross," Hey. Çocukken Happy Days oynadığınızda, kimdiniz? Ben her zaman Richie'ydim."
Monica, Ben her zaman Joanne'dim.
Joey," Soru. Ah, 'Egg the Gellers!' mahallenizin savaş çığlığı mıydı?"
Phoebe, İyy! Oh! Mattress King bu!
Joey, Ühüüü!!
Chandler,  Bakma canım. Kanalı değiştir! Kanalı değiştir!
Janice," Bekle! Bekle! Bunu izlemek istiyorum. Ondan boşandıktan sonra, o krallığın yarısı benim olacak."
Matress King,  'Umutsuzluk yatak sergi salonunu doldurdu. Krallığım aniden kraliçesiz kaldı. Öyle depresifim ki... fiyatlarımı düşüreceğim!! Şuna bir bak! Yastıklı üst kraliçe takımı için dört doksan dokuz! Fiyatlarda ortaçağa gidiyorum!
Chandler, Ne kadar da aptalca!
Janice," Ah, boşanmamızı yatak satmak için kullandığına inanamıyorum."
Monica," Biliyorum! Ve yastıklı üst kraliçe takımı için dört doksan dokuz, boşanma kimin umurunda, o bebekler kendilerini satacaklar.  Ve bu arada senin adına dehşete düştüm."
Yatak Kralı,  Yakınım. Ucuzum. Ben kralım.
Rachel," ""Tamam.  Tamam, baba yarın gece görüşürüz.  Tamam, hoşça kal."""
Ross, Biz mi?
Rachel," Ah, yarın akşam babamla akşam yemeği yiyeceğiz, umarım sorun olmaz."
Ross," Ah, yarın pek iyi değil, Empire State binasından düşüp selesi olmayan bir bisiklete binmem gerekiyor. Üzgünüm."
Rachel," Ross, babam senden nefret etmiyor."
Ross," Lütfen, bana 'ıslak kafa' diyor."
Rachel," Ama tatlım herkese takma adla sesleniyor! Tamam, bak, biliyorum, tamam, sadece bir akşam yemeği, lütfen, sadece benim için bir gece, lütfen. Sadece seni benim sevdiğim gibi sevmesini istiyorum.  Tamam, tam olarak benim sevdiğim gibi değil ama, ama, eğer yemeğe gelirsen, seni o sevdiğin siyah şeyle sevdiğim gibi seveceğim."
Chandler,  Gideceğim.
Ross, Tamam.
Rachel, Teşekkür ederim.
Ross, Merhaba Gunther.
Gunther," Evet, göreceğiz!"
Joey,"  Hey, millet!"
Phoebe, Hey!
Joey, Tahmin edin ne oldu?
Ross, Ne?
Joey, Bir işim var!
Hepsi, Yaşasın!!
Chandler, İşte bu yüzden asla oyuncu olamam. Çünkü 'iş' diyemem.
Phoebe," Evet, kruvasan diyemem.  Aman Tanrım!"
Monica, Rol ne?
Joey," Şey, bir rol değil, hayır. Learning Extension'da pembe diziler için oyunculuk dersi veriyorum."
Ross, Hadi ama! Harika.
Hepsi, Vay canına!
Joey," Evet, evet. Oyunculuk camiasına bir şeyler geri verme şansım gibi."
Ross, Muhtemelen öğrencilerinden hiçbiriyle yatmana izin verilmediğini biliyorsun.
Joey,  Biliyorum!
Phoebe," Ugh! Monica'yı tanımıyorum. Burada olmak bile tuhaf hissettiriyor. Yani Janice'in eski kocasından bir yatak alırsan, bu Chandler'a ihanet etmek gibi olur."
Monica, Bu fiyatlara değil.
Phoebe,   Merhaba. İngiltere'de bu arabanın mağazanın diğer tarafında olduğunu biliyorsun.  Vay canına!
Monica,"  Oh! Ohhhhh! Oh! Phoebe, gel buraya. Ah, bu benim yeni yatağım. Bu kötü çocuğu hissetmelisin."
Phoebe," Eh, Monica, çok garip hissettiriyor, bilirsin, Chandler senin arkadaşın...  Oh! Aman Tanrım! Ah, tamam, şu yatağı al, başka arkadaşlar edinebilirsin."
Joey," İyi akşamlar. Ben Bay Tribbiani. Ve pembe diziler için oyunculuk dersi vereceğim. Şimdi, şey,  Dr. Drake Remoray olarak Days of Our Lives'da ilk günümde,  Pembe dizi oyunculuğundaki en önemli şeylerden birinin tepki vermek olduğunu öğrendim, bu tekrar oyunculuk yapmak anlamına gelmiyor, bu, bir repliğiniz olmadığı, ancak başka birinin olduğu anlamına geliyor. Ve şöyle oluyor.  Teşekkürler, teşekkürler, çok. Bu arada, pembe dizilerde çalışmayı unutmadan önce, bazılarınız çok daha çekici hale gelmeniz gerekecek. Tamam, hemen devam edelim."
Joey, Merhaba!
Phoebe, Hey! Ooh! Dün gece ders vermek nasıldı?
Joey," Oh, harikaydı. Evet, 'Hey, zil seni kovmuyor, ben kovuyorum' gibi şeyler söyleyebilirsin."
Phoebe," Ooooh, güzel."
Joey," Oh, ve tahmin et ne oldu, All My Children için bir seçmeye katıldım."
Phoebe," Oh, harika!"
Joey," Evet, harika bir rol, Nick adında bir boksör. Ve ben buna çok, çok uygunum, bilirsin, tıpkı benim gibi. Tek farkı boksör olması ve kötü bir ikizi olması."
Phoebe, Oh.
Adam, Dom da-da dom! Buyrun! Buyrun! Mattress King'den teslimat.  Sen Geller'ı mı özlüyorsun?
Phoebe, Tamam.
Adam, Buraya imzala.
Phoebe," Ah, ikinci adım var mı? Tamam Monica Velula Geller. Şu yatak odası."
Joey," Hey, Monica Mattress King'den bir yatak mı aldı?"
Phoebe," Evet, lütfen, lütfen, lütfen Chandler'a hiçbir şey söyleme."
Joey, Chandler'a yalan söylememi mi istiyorsun?
Phoebe, Bu bir sorun mu?
Joey, Hayır.
Phoebe," Ah, hey, hey boksör Nick, ne yapabileceğini görelim. Tamam, hadi, kaldır onları. Hadi."
Joey," Hey, sen bunda oldukça iyisin."
Phoebe," Evet, öğrenmem gerekiyordu, Y'de kalıyordum ve genç adamların bazıları yeterince Hristiyan gibi davranmıyordu."
Joey, Ahh!
Joey, Hey şimdi!
Joey, Hey!!! Oww!! Ve ben kanıyorum.
Phoebe, Oh! Oh! Oh!
Joey," Tamam, harika."
Phoebe," Vay canına! Ve ben vejetaryenim! Tamam, tamam, tamam, özür dilerim, üzerine biraz buz koyacağız."
Joey, Tamam.
Phoebe," Tamam, başını arkaya koy."
Joey, Tamam. Göremiyorum.
Phoebe," Tamam, seni yakaladım. Aman Tanrım."
Guy, Hangi yatak odasını istiyorsun Bayan Geller?
Phoebe," Oh, pencerenin yanındaki aşırı derecede temiz olan, tamam."
Guy, Anladım.
Rachel, Merhaba Baba!
Dr. Green," Bunu buraya mı koymuşlar? Ne, mutfakta boş masa yok! Merhaba bebeğim."
Rachel, Ross'u hatırlıyor musun?
Dr. Green, Hımm.
Ross, Seni tekrar gördüğüme sevindim Dr. Green.
Dr. Green, Ee!   Kütüphane nasıl?
Ross," Ugh, müze."
Dr. Green, Kütüphaneye ne oldu?
Ross," Hiçbir zaman kütüphane olmadı. Yani kütüphaneler var, sadece ben ah, hiç birinde çalışmadım."
Dr. Green," Burada gerçekten neyin iyi olduğunu biliyor musun, ıstakoz. Ne dersin, üç tane sipariş edeyim mi?"
Ross," Evet, gerçekten açsan.  Şakaydı, şaka yaptım."
Rachel," Evet, aslında Daddy Ross'un ıstakoza alerjisi var."
Dr. Green, Istakoza alerjisi olan kişi ne tür bir kişidir? Sanırım kütüphanede çalışan türden biri.
Ross, Kütüphane değil...
Dr. Green,"  Biliyorum!! Bir müze! Ne, burada şaka yapabilen tek kişi sensin! En azından benimki komikti. Ah, garson, iki ıstakoz ve bir menümüz olacak."
Ross," Peki, Dr. Green, eski tekne nasıl?"
Dr. Green, Pas bulmuşlar. Pasın tekneye ne yaptığını biliyor musun?
Ross, Ona güzel bir antika görünümü veriyor.
Dr. Green,"  Pas, tekne kanseridir, Ross."
Ross," Vay canına. Üzgünüm, çocukken buna bir bisiklet kaybettim."
Dr. Green," Bir dakika izin verir misin, gitmeden önce Levine'lere iyi geceler demek istiyorum."
Rachel, Tamam.
Ross, Tamam!
Rachel, Ah tatlım dur! O kadar da kötü değil.
Ross, Evet.  Op! Uh-oh! Sanırım baban yanlış eklemiş olmalı. Sadece yüzde dört bahşiş bırakmış.
Rachel, Evet. O baban.
Ross, O baban mı?! Ama seni rahatsız etmiyor mu? Sen bir garsonsun.
Rachel," Evet, beni rahatsız ediyor Ross, ama biliyor musun, eğer kahvehaneye düzenli olarak gitseydi, ona hapşırık servisi yapardım."
Ross, Ne?
Rachel," Ne. Ross, bunu ona milyon kere söyledim, değişmeyecek."
Ross, Gerçekten insanlara hapşırık mı veriyorsun?
Rachel," Şey, ben yapmıyorum."
Dr. Green, Çocuklar hazır mısınız?
Ross," Tekrar teşekkürler, Dr. Green."
Dr. Green, Tamam.
Dr. Green," Ah, bekle, bekle, bekle, sanırım fişimi unuttum."
Ross," Ah, ah, buna ihtiyacın yok."
Dr. Green, Neden olmasın?
Ross," Karbon, dağınık, yani parmaklarına bulaşıyor ve gece körlüğüne neden oluyor."
Dr. Green,  Bu ne? Buraya yirmiliği kim koydu? Ha?
Ross," Ah, evet, bu benim, şey, bir sorunum var, çok fazla bahşiş veriyorum, çok, çok, çok fazla, bu gerçekten bir hastalık."
Rachel," Evet öyle, öyle.  Gerçekten, gerçekten bu konuda bir şeyler yapmalıyız."
Ross, Biliyorum.
Dr. Green," Affedersiniz, cimri olduğumu mu düşünüyorsun?"
Rachel," Aman Tanrım, hayır, bunu kastetmedi, gerçekten kastetmedi."
Ross," Yaptığım hiçbir şeyin bir anlamı yok, gerçekten."
Dr. Green," Bu güzel. Akşam yemeği için iki yüz dolar ödüyorum, sen yirmi dolar veriyorsun ve Bay Büyük Adam gibi görünüyorsun. Gerçekten Bay Büyük Adam olmak mı istiyorsun? Hadi, sana ne söyleyeyim, sen tüm hesabı ödüyorsun, Bay Büyük Adam, tamam mı?"
Ross," Eh, Bay Büyük Adam 'ıslak kafa'dan daha iyi."
Joey," Tamam, mesleğin bazı püf noktaları. Şimdi, bir oyuncu olarak hiç ağlayamadım, bu yüzden ağlamam gereken bir sahnedeysem cebimde bir delik açıyorum, bir cımbız alıyorum ve çekmeye başlıyorum. Ya da ah, ya da diyelim ki az önce kötü bir şey yaptığımı iletmek istiyorum. Bu, basit bir ""Kaşımda bir balık kancası var ve hoşuma gidiyor"" olurdu  Tamam, diyelim ki az önce kötü bir haber aldım, tek yaptığım 232'yi 13'e bölmeye çalışmak.  Ve bu şekilde yapılır. Bu gece harika bir pembe dizi oyunculuğu var herkes, ders bitti."
Öğrenci," Hey, Bay Trib."
Joey, Hey-hey.
Öğrenci," Tahmin edin ne oldu, bir seçmeye katıldım!"
Joey," Awww, öğrencilerimden biri seçmeye katıldı. Çok gururluyum."
Öğrenci, Acaba bunun için bana koçluk yapmayı düşünür müsünüz?
Joey, Elbette! Rol ne?
Öğrenci," Ah, harika, All My Children'da bir rol, boksör Nick."
Rachel," Bunu yapmak zorundaydın, değil mi? Öylece bırakamazdın."
Ross, Yüzde dört. Tamam. Yemeğimde böcek olduğunda bundan daha fazla bahşiş bırakıyorum.
Rachel," Ross, bu gece ikinizin anlaşmasıyla ilgiliydi.  Ah, lütfen kiropraktörümü gör."
Ross," Evet, mini bir alışveriş merkezinde okula giden bir doktora gideceğim."
Ross," Hey Pheebs, ne yapıyorsun?"
Phoebe," Çok, çok korkuyorum! Monica bana bir konuda güvendi ve güvenmemeliydi! Tamam, bir süredir burada yaşamıyorum, bu yüzden sana bir şey sormam gerekiyor. Monica hala yatak odasındaki ışıkları yakıyor mu?"
Rachel, Şey. Evet.
Phoebe, Çok ölüyüm.
Rachel," Tamam, bak, işte sonuç Ross, eğer hızlı davranırsak bu düzeltilebilir, tamam. O yüzden yarın onu brunch'a davet edeceğim ve sen de nazik olabilirsin."
Ross," Bak, tatlım, nazik olmaya çalıştım, işe yaramıyor."
Rachel," Tamam, bak, Ross, Babamın zor olduğunu biliyorum, ama bu yüzden burada daha büyük adam olman gerekiyor."
Ross," Bak tatlım, daha büyük adam olabilirim, en büyük adam olabilirim, büyük, kocaman, dev bir adam olabilirim ve yine de hiçbir fark yaratmaz, sadece Babanı kucağıma alıp 'Benim gibi! Benim gibi minik doktor!' diyebilirim."
Rachel," Tamam, peki Ross, bir kez daha deneyemez misin? Benim için? Benim için?"
Ross," Rachel, bir brunch hiçbir şeyi çözmeyecek. Kabul etmelisin, tamam, asla anlaşamayacağız."
Rachel," Tamam, peki sen de öyle olacaksın, tamam. Çünkü zaten aynı odada kalamayan bir Annem ve Babam var, tamam, senin için de ayrı bir oda istemem!!"
Ross," Tamam, tamam, tamam.  Simitleri ben alırım."
Monica,  Bu ne?
Phoebe, Harika değil mi! Varoom! Varoom!
Monica, Bu benim sipariş ettiğim yatak değil!
Phoebe," Biliyorum, bir yarışmayı kazanmış olmalısın ya da bir şey!"
Monica, Phoebe!
Monica, Bu araba neden yatak odamda?
Phoebe," Özür dilerim, tamam, ben-ben bakmıyordum ve mağaza geri almayacaklarını söylüyor çünkü sen imzalamışsın..."
Monica, Ne zaman imzalamıştım?
Phoebe," Ben senin yerindeyken! Biliyor musun, hepsi Joey'nin suçu, çünkü burnunu açık bırakmış!"
Monica, Bugün brownie mi yaptın?
Chandler," Kapı, kapı."
Monica,"  Çabuk, elbiseni çıkar, yatağı fark etmeyecek."
Chandler," Hey, suşi yemeye gidiyorum, isteyen var mı..  Vay-vay, biri çıkış rampasını kaçırmış."
Phoebe, Monica'nın yatağı. Ne?
Chandler, Tamam.  Bu bir yarış arabası.
Phoebe," Yani. Bu her zaman Monica'nın yatağıydı, şimdi fark ettiğin şey, ne kadar bencilsin?"
Chandler," Tamam, peki bu yatak yeni değilse, şilte üzerinde neden plastik var?"
Monica, Bazen kötü rüyalar görüyorum.
Öğrenci," Bak, en yakın arkadaşımın beyninin tuvale bulaştığını gördüm, bu ben olmayacağım, ben olmayacağım."
Joey, Vay canına! Bu iyiydi. Bu...  Cımbız mı?
Öğrenci, Hayır.
Joey, Vay canına. Bu gerçekten iyiydi.
Öğrenci," Teşekkürler, herhangi bir önerin var mı?"
Chandler, Ona boksör gey oynamasını söyledin!!
Joey," Şey, süper gey diyebilirdim."
Chandler, Onu tamamen mahvettin.
Monica," Joey, sen bu adamın öğretmenisin. Yani bunu nasıl yapabildin?"
Joey," Çünkü, Monica, adam çok iyi ve ben bu rolü gerçekten, gerçekten istiyorum."
Phoebe," Eğer gerçekten, gerçekten istiyorsan, o zaman sorun yok."
Rachel,  Merhaba Baba.
Dr. Green, Bebek. Ross.
Ross, Dr. Green. Nasılsın?
Dr. Green, Dün geceki akşam yemeği için teşekkürler.
Ross, Bana değerli bir ders verdiğin için teşekkürler.
Dr. Green, Güzel saçlar. Ne yaptın? Burada yüzdün mü?
Ross,"  Tamam, bu kadar, artık dayanamıyorum."
Rachel," Ne? Ne? Seninle ilgileniyor. Saçını beğeniyor, sadece buraya nasıl geldiğini bilmek istiyor."
Ross," Ah, lütfen. Tatlım umutsuz, tamam, sadece gideceğim."
Rachel, Ne?!
Ross," Bak, bak, üzgünüm. Sadece şu var..."
Dr. Green, Ross? Boynun nesi var?
Rachel, Bu şey var. Ve ona sürekli kiropraktörüme gitmesini söylüyorum...
Dr. Green," Hala o kiropraktörüne gideceksin, o adam Extapa'daki tıp fakültesine giremedi!"
Ross, Teşekkür ederim! Ben de bunu söyleyip duruyorum.
Rachel," Affedersin, Dr. Bobby mükemmel bir doktor."
Ross, Şey.
Dr. Green," Bir dakika, adı Dr. Bobby mi?"
Rachel, Soyadı bu.
Ross, Ve adı.
Dr. Green, Bobby Bobby mi?
Rachel, Robert Bobby.
Dr. Green, Oh.
Rachel," Ve şey, özür dilerim, bana yardım ediyor."
Ross, Oh-ho lütfen. Ona nasıl olduğunu sor?
Dr. Green, Ne için yardıma ihtiyacın var?
Rachel, Hizalamamla ilgili. Bir bacağım diğerinden daha kısa.
Dr. Green, Aman Tanrım!
Ross, Buna itiraz et.
Rachel," Ne? Doğru, sağ bacağım iki inç daha kısa."
Dr. Green, Hadi ama! Sadece ünvan veriyorsun!  Bacakları iyi!
Ross, Bunu biliyorum!
Dr. Green," Peki, neden kiropraktöre gitmesine izin veriyorsun?"
Rachel," Özür dilerim, izin ver?"
Ross," Ne yapabilirim, kiracı sigortası konusunda da beni dinlemiyor."
Dr. Green," Bir dakika, kiracı sigortanız yok mu?!"
Rachel, Hayır.
Dr. Green, Peki ya biri bir şey çalarsa? Bir bacağın diğerinden kısayken onun peşinden nasıl koşacaksın?!
Ross," Hey, ah, biraz meyve suyu ister misin?"
Dr. Green, Biraz meyve suyu isterim. Teşekkürler.
Ross, Tamam.  Vay canına! Çok iyi gidiyor. Bizi gördün mü? Gördün mü?
Rachel," Evet tatlım, tam orada duruyorum! Neden ona henüz kontrol ettirmediğim beni anlatmadın?"
Ross, Harika!
Joey,"  Her birinizin kariyerinde bir başka pembe dizi oyuncusunu becerme şansına sahip olacağın bir zaman gelecek. Yakın zamanda, şu anda böyle bir fırsatım oldu. Ve utanarak söylüyorum ki bunu aldım, bir oyuncu arkadaşıma eşcinsel bir rol oynamasını önerdim. Evet, ikimiz de rol için seçmelere katıldık ve uh, ortaya çıktığı gibi, aptalca eşcinsel şeyini beğendiler ve onu kadroya aldılar. Ve şimdi, gündüz kuşağının first lady'si Susan Luchhi ile iki yıllık bir sözleşmesi var ve ben, ben burada bir sürü insana ders vermekle meşgulüm, çoğu televizyonda bile yer alamayacak kadar çirkin. Üzgünüm, üzgünüm, üzgünüm.  Teşekkür ederim."
Jester," Şey, yardım edebilir miyim?"
Monica," Evet, telefonda konuştum, yarış arabası yatağına sıkışan hanım benim."
Jester," Bak, sana dediğim gibi, yapabileceğim hiçbir şey yok. Sen imzaladın, Monica Velula Geller."
Joey," Tamam, Jester adam, bak kralı görmek istiyoruz."
Jester, Kimse kralı görmüyor!
Joey," Oh-ho-kay, kralla konuşuyorum."
Jester, Hey! Oraya geri dönemezsin!
Janice, Aman Tanrım.
Chandler," Varrrrrroom! Hey! Dikkat et hanım! Varrrrrrrrrrrom!  Hey-hey yakışıklı!  Varrrrrrrrroom.  Tamam, gidiyorum. Yatağım çok sıkıcı."
Rachel, Al bakalım Pheebs. Başka kim benim özel ev yapımı keklerimden ister?
Chandler, Ben de bir tane alacağım.
Chandler," Tamam, ben de almayacağım."
Ross, Ben de almayacağım.
Phoebe," Hayır, hayır, sadece dişim."
Chandler," Tamam, ben de alacağım."
Ross," Ne oldu, dişçiye mi ihtiyacın var? Benim iyi bir tane var."
Phoebe," Hayır teşekkürler, benim de iyi bir tane var. Sadece, ben, ben onu göremiyorum."
Chandler, Görünmez dişçilerin sorunu bu işte.
Ross, Neden? Neden ona gidemiyorsun?
Phoebe," Çünkü, her dişçiye gittiğimde biri ölüyor."
Chandler," Bu çok garip, çünkü her dişçiye gittiğimde diş hijyenistinin bluzuna bakıyorum."
Rachel," Phoebe, ne? Şey... ne?!"
Phoebe," Evet, evet, önce teyzem Mary vardı, sonra şey, postacım John ve sonra kovboy arkadaşım 'Albino Bob'."
Rachel, Ve tüm bu insanlar gerçekten öldü mü?
Phoebe," Evet, ben koltukta otururken! Bu yüzden artık dişlerime çok iyi bakıyorum, bilirsin, mesele ağız hijyeni değil, hayat kurtarmak için diş ipi kullanıyorum!"
Ross," Pheebs, hadi ama, sen kimseyi öldürmedin, bu insanlar sadece sen dişçiye gittiğinde öldüler. Bu, bu, bu sadece bir tesadüf."
Phoebe," Hadi bunu onlara söyle. Oh! Söyleyemezsin, onlar öldü."
Ross," Teşekkürler, Gunther.   Hey!  Şey, ben de bir peçete alabilir miyim?"
Gunther," Ah, sanki her şeyin yokmuş gibi."
Phoebe,  Ah! Ah!
Rachel," Phoebe, acı çekiyorsun, dişçiye git, git."
Phoebe," Tamam, tamam, tamam, ama bir sonraki kurbanım olursan, bir poltergeist olarak geri dönme ve beni televizyona çekme."
Rachel, Söz veriyorum.
Phoebe, Yine de ziyaret edemeyeceğini düşünme.
Joey,"  Hey, Chandler burada mı?"
Ross,"  Hayır, hayır değil."
Monica," Arkadaşlar, Joey az önce Janice'i eski kocasını öperken gördü."
Ross," Ne?  Peki ne yapacaksın? Yani nasıl, nasıl söyleyeceksin Chandler'a?"
Joey, Bunu düşünüyordum ve bence en iyi yol söylememek.
Rachel," Joey, bunu kendine saklayamazsın, eğer bunu biliyorsan ona söylemelisin."
Joey," Onu öldürecek. Yani, onu öldürecek."
Phoebe," Peki, dişçiye gidene kadar bekleyebilirsin, belki onu öldürürüm."
Joey,  İyy! Çirkin Çıplak Adam yeni hamakını kullanıyor. Play-Doo Fat Factory gibi.
Phoebe," Şey, dişçiye gidiyorum, o yüzden dinle, tamam, sadece içine düşebileceğin bir şeye, bir şeye, veya sana düşebilecek bir şeye dikkat et, veya... Tamam, sadece dikkat et! Tamam, Ve şey, ayrıca sadece, sadece sana tüm bunları söylemek istiyorum şey..."
Ross," Tamam, bir sorunum var, birkaç saatliğine işe gitmem gerekiyor, bazı çocuklar Homo Sapien sergisini mahvettiler."
Joey, Ne yaptılar?
Ross," Şey, bir şey için 'Sapien' kelimesinin üstünü boyadılar, sonra figürleri yeniden düzenlediler, öyle bırakalım."
Monica," Peki, senin için Ben'i izlememi ister misin?"
Ross," Evet, ben de onu soracaktım, teşekkür ederim."
Rachel, Vay! Bekle! Merhaba! Peki ya ben?
Ross," Sen mi? Sen! Ben'i izlemek ister misin?  Evet! Bu harika olurdu, hayır, sadece Monica'ya sormak istedim, çünkü hayatının ne kadar boş olduğunu biliyorum."
Joey," Hey-hey, Ross?"
Ross, Evet.
Joey, Bir bilim sorum var.
Ross, Hmm?
Joey," Homo Sapiens gerçekten ""Homo-sapien"" ise, bu yüzden mi soyları tükendi?"
Ross," Joey, Homo Sapiens insandır."
Joey," Hey-hey, yargılamıyorum."
Rachel,"  Bak Benny, kaşık.  Kaşık. Hadi! Tamam, biliyor musun, bence sıkılmış."
Monica," İşte. Ben, uçak oyunu oynamak ister misin, Rachel'a göstermek ister misin? Gel buraya.  Eğlenceli bir şeyler yapacağız. Tamam.  Weee!!  Weee!!"
Monica,"  Kim bu kadar cesur, sen çok cesursun, evet öylesin, çok cesursun."
Rachel," Tamam. Tamam tatlım, o iyi, o iyi, hadi onu yere bırakalım. Gel buraya, Ben.  Bak, bu iyi bir çocuk.  Ona bunu nasıl yapabildin!! Ross bana güvendi, ne diyecek?!"
Monica," Hiçbir şey söylemeyecek, çünkü ona söylemeyeceğiz."
Rachel, Söylemiyoruz?!
Monica, Hayır değiliz.
Rachel," Tamam, bunu beğendim."
Monica, Tamam.
Rachel," Yani iyiyiz, iyiyiz, iyiyiz,  değil mi? Hayır, iyi değiliz, iyi değiliz, bir çıkıntı var, bir çıkıntı var."
Monica, Aman Tanrım! Hadi içeri it! İçeri it!
Rachel, İçeri itemiyorum!
Monica," Tamam, dikkati dağıtacak bir şeye ihtiyacımız olacak."
Rachel," Tamam, tamam, tamam."
Monica, Anladım!
Rachel, Tamam.
Monica," Ross o kapıdan girdiği anda, onu yatak odana geri götürmeni ve onu  rweee!! diye bağırtacak her neyse onu yapmanı istiyorum."
Rachel, Ya da. Kafasına bir şapka takabiliriz.
Monica, Bir şapka! Evet! Bir şapkaya ihtiyacımız var.
Rachel, Bir şapkaya ihtiyacımız var..
Monica, Küçük bir şapkayı nereden bulacağız?
Rachel," Oh, oh, oh, 'Yağmurlu Gün Ayısı'nı alacağım!!"
Monica," Çünkü ne yapacağını bilir?  Aman Tanrım, sen bir dahisin!"
Rachel," Aman Tanrım, aman Tanrım, ama ekilmiş."
Monica, Ver. Ver.
Rachel, Tamam.
Monica ve Rachel, Oh!!
Rachel," Oh, bugün burada tam bir kan gölü var."
Chandler," Hey! Bir dakika, bir saniye. Bu inciler güzel mi sence?"
Joey, Ben gerçekten dağ bisikleti tercih ederim.
Chandler," Janice'in doğum günü yaklaşıyor, ona özel bir şey almak istiyorum. Benimle içeri gel."
Joey," Whoa, whoa, whoa, bekle, whoa. Ona özel bir şey almak ister misin, ona çiçek almak, ona şeker almak, ona sakız almak, kızlar sakızı sever."
Chandler," Bu iyi bir fikir, 'Sevgili Janice'in doğum günü Hubba-Bubba olsun'. Ona ciddi bir şey almak istiyorum."
Joey," Ah, ciddi bir şey istiyorsun. Ne yapman gerektiğini biliyor musun, ona şu baryumlu lavmanlardan birini almalısın. Bunlar çok ciddi."
